"","x"
"312","AL031274.1"
"313","VAMP4"
"314","SUCO"
"315","KLHL20"
"316","KIAA0040"
"317","RASAL2"
"318","XPR1"
"319","KIAA1614"
"320","KIAA1614-AS1"
"321","AL162431.2"
"322","STX6"
"323","MR1"
"324","GLUL"
"325","RGS16"
"326","NCF2"
"327","FAM129A"
"328","TPR"
"329","OCLM"
"330","PTGS2"
"331","RGS1"
"332","CDC73"
"333","EEF1A1P14"
"334","NEK7"
"335","PTPRC"
"336","ZNF281"
"337","DDX59"
"338","CAMSAP2"
"339","IGFN1"
"340","PHLDA3"
"341","AC096677.1"
"342","RPS10P7"
"343","NAV1"
"344","PPP1R12B"
"345","KDM5B"
"346","PPFIA4"
"347","CHI3L1"
"348","CHIT1"
"349","BTG2"
"350","AL513343.1"
"351","SOX13"
"352","PPP1R15B"
"353","MDM4"
"354","AL512306.2"
"355","LRRN2"
"356","TMEM81"
"357","RBBP5"
"358","ELK4"
"359","FAM72A"
"360","IKBKE"
"361","C1orf147"
"362","RASSF5"
"363","FCMR"
"364","CD55"
"365","CD46"
"366","MIR29B2CHG"
"367","IRF6"
"368","AC092017.1"
"369","SLC30A1"
"370","PPP2R5A"
"371","ATF3"
"372","ANGEL2"
"373","RPS6KC1"
"374","SMYD2"
"375","GPATCH2"
"376","RIMKLBP2"
"377","LYPLAL1"
"378","ZC3H11B"
"379","EPRS"
"380","RAB3GAP2"
"381","DUSP10"
"382","TAF1A"
"383","AL592148.3"
"384","MIA3"
"385","AIDA"
"386","GTF2IP20"
"387","FBXO28"
"388","CNIH4"
"389","LBR"
"390","ENAH"
"391","TMEM63A"
"392","PYCR2"
"393","SDE2"
"394","H3F3A"
"395","CDC42BPA"
"396","FTH1P2"
"397","RHOU"
"398","FAM89A"
"399","GNPAT"
"400","EGLN1"
"401","PCNX2"
"402","RBM34"
"403","ARID4B"
"404","GGPS1"
"405","LYST"
"406","AL359918.1"
"407","AL606534.1"
"408","AL606534.2"
"409","CEP170"
"410","SDCCAG8"
"411","AKT3"
"412","AL645465.1"
"413","ADSS"
"414","DESI2"
"415","EFCAB2"
"416","CNST"
"417","AHCTF1"
"418","OR2B11"
"419","PGBD2"
"420","AKR1C3"
"421","FAM208B"
"422","IL15RA"
"423","RBM17"
"424","SFMBT2"
"425","TAF3"
"426","GATA3"
"427","USP6NL"
"428","OPTN"
"429","FAM107B"
"430","HSPA14"
"431","MINDY3"
"432","PTER"
"433","C1QL3"
"434","AL133415.1"
"435","VIM"
"436","CACNB2"
"437","ARL5B"
"438","HNRNPRP1"
"439","DNAJC1"
"440","PSME2P6"
"441","AL158211.5"
"442","BMI1"
"443","MSRB2"
"444","YWHAZP3"
"445","OTUD1"
"446","ABI1"
"447","YME1L1"
"448","MASTL"
"449","RAB18"
"450","ZNF438"
"451","CCDC7"
"452","NAMPTP1"
"453","ZNF25"
"454","ZNF37A"
"455","AL117339.5"
"456","CSGALNACT2"
"457","ZNF32-AS1"
"458","ZNF32-AS2"
"459","ZNF32"
"460","ZFAND4"
"461","RHEBP1"
"462","AL356056.3"
"463","SHLD2P1"
"464","RHEBP2"
"465","MAPK8"
"466","SGMS1"
"467","UBE2D1"
"468","EGR2"
"469","NRBF2"
"470","JMJD1C"
"471","REEP3"
"472","DNA2"
"473","SLC25A16"
"474","RF00017"
"475","AIFM2"
"476","CEP57L1P1"
"477","PRF1"
"478","SLC29A3"
"479","CDH23"
"480","SPOCK2"
"481","ASCC1"
"482","ANAPC16"
"483","DDIT4-AS1"
"484","DDIT4"
"485","MICU1"
"486","MCU"
"487","FAM149B1"
"488","AC022400.5"
"489","BMS1P4"
"490","BMS1P4"
"491","SAMD8"
"492","ZMIZ1-AS1"
"493","ZMIZ1"
"494","PPIF"
"495","EIF5AL1"
"496","AL132656.4"
"497","NUTM2B-AS1"
"498","TMEM254"
"499","PRXL2A"
"500","TSPAN14"
"501","AL603756.1"
"502","GHITM"
"503","CCSER2"
"504","NUTM2A-AS1"
"505","MINPP1"
"506","ATAD1"
"507","IFIT5"
"508","PCGF5"
"509","CPEB3"
"510","MARCH5"
"511","EIF2S2P3"
"512","MYOF"
"513","PIPSL"
"514","ENTPD1"
"515","AL365273.1"
"516","AL365273.2"
"517","CC2D2B"
"518","ENTPD1-AS1"
"519","PIK3AP1"
"520","LCOR"
"521","FRAT1"
"522","AL355490.2"
"523","RRP12"
"524","PGAM1"
"525","UBTD1"
"526","GOT1"
"527","ENTPD7"
"528","ERLIN1"
"529","BLOC1S2"
