"","x"
"1326","NPTN"
"1327","PML"
"1328","AC012435.1"
"1329","ARID3B"
"1330","ANP32BP1"
"1331","CSPG4"
"1332","FBXO22"
"1333","SCAPER"
"1334","PSTPIP1"
"1335","AC090181.1"
"1336","TSPAN3"
"1337","PSMA4"
"1338","MTHFS"
"1339","AC015871.3"
"1340","ST20"
"1341","ST20-MTHFS"
"1342","ST20-AS1"
"1343","BCL2A1"
"1344","ZFAND6"
"1345","MESD"
"1346","TLNRD1"
"1347","EFL1"
"1348","GOLGA6L9"
"1349","SEC11A"
"1350","ALPK3"
"1351","AC087286.3"
"1352","AC021739.4"
"1353","AKAP13"
"1354","AC021739.2"
"1355","ISG20"
"1356","HAPLN3"
"1357","AC103739.2"
"1358","LINC01578"
"1359","AC087633.2"
"1360","IGF1R"
"1361","SYNM"
"1362","LRRC28"
"1363","LINC02244"
"1364","AC015660.2"
"1365","MEF2A"
"1366","LYSMD4"
"1367","SELENOS"
"1368","PCSK6"
"1369","TM2D3"
"1370","RHBDF1"
"1371","MCRIP2"
"1372","CCDC154"
"1373","AL031600.1"
"1374","CRAMP1"
"1375","MSRB1"
"1376","AC005363.1"
"1377","MLST8"
"1378","ECI1"
"1379","AC141586.1"
"1380","TNFRSF12A"
"1381","IL32"
"1382","AC025283.2"
"1383","ZSCAN32"
"1384","DNAJA3"
"1385","AC012173.1"
"1386","AC010401.1"
"1387","ERCC4"
"1388","LINC02185"
"1389","TVP23CP2"
"1390","MRTFB"
"1391","BFAR"
"1392","AC026401.1"
"1393","C16orf45"
"1394","MARF1"
"1395","NDE1"
"1396","AF001548.2"
"1397","MYH11"
"1398","AC138811.1"
"1399","SMG1"
"1400","SMG1P3"
"1401","METTL9"
"1402","PRKCB"
"1403","ARHGAP17"
"1404","LCMT1-AS2"
"1405","NPIPB6"
"1406","APOBR"
"1407","NUPR1"
"1408","AC020765.2"
"1409","AC133550.1"
"1410","AC109460.2"
"1411","NFATC2IP"
"1412","SPNS1"
"1413","AC109460.3"
"1414","AC109460.4"
"1415","LAT"
"1416","AC009093.9"
"1417","SNX29P2"
"1418","SMG1P6"
"1419","BOLA2-SMG1P6"
"1420","PRRT2"
"1421","AC120114.3"
"1422","ASPHD1"
"1423","KCTD13"
"1424","AC093512.2"
"1425","ALDOA"
"1426","SMG1P5"
"1427","AC116348.3"
"1428","AC116348.2"
"1429","ITGAL"
"1430","AC135048.4"
"1431","HSD3B7"
"1432","STX1B"
"1433","STX4"
"1434","ZNF646"
"1435","ITGAX"
"1436","ITGAD"
"1437","ZNF720"
"1438","GPT2"
"1439","DNAJA2"
"1440","CNEP1R1"
"1441","AC007728.3"
"1442","NOD2"
"1443","AC007728.2"
"1444","CYLD"
"1445","CHD9"
"1446","MMP2"
"1447","LPCAT2"
"1448","CES1"
"1449","OGFOD1"
"1450","MT2A"
"1451","MT1E"
"1452","MT1M"
"1453","MT1F"
"1454","MT1H"
"1455","AC012181.1"
"1456","HERPUD1"
"1457","NLRC5"
"1458","AC009090.6"
"1459","RSPRY1"
"1460","COQ9"
"1461","KATNB1"
"1462","CFAP20"
"1463","AC010542.5"
"1464","CKLF"
"1465","CKLF-CMTM1"
"1466","CMTM1"
"1467","PDP2"
"1468","C16orf70"
"1469","ELMO3"
"1470","TMEM208"
"1471","PLEKHG4"
"1472","CTCF"
"1473","AC040162.1"
"1474","PSMB10"
"1475","SNTB2"
"1476","AC012321.1"
"1477","NFAT5"
"1478","NPIPB14P"
"1479","PDXDC2P-NPIPB14P"
"1480","CLEC18C"
"1481","AARS"
"1482","DDX19B"
"1483","AC020763.3"
"1484","VAC14"
"1485","ZNF19"
"1486","PSMD7"
"1487","AC009120.2"
"1488","MLKL"
"1489","TMEM170A"
"1490","KARS"
"1491","TERF2IP"
"1492","AC092718.4"
"1493","CENPN"
"1494","AC092718.2"
"1495","ATMIN"
"1496","MLYCD"
"1497","AC009119.2"
"1498","HSDL1"
"1499","DNAAF1"
"1500","USP10"
"1501","AC025280.3"
"1502","CRISPLD2"
"1503","IRF8"
"1504","FBXO31"
"1505","MAP1LC3B"
"1506","AC126696.2"
"1507","SLC7A5"
"1508","AC137932.1"
"1509","VPS9D1-AS1"
"1510","VPS9D1"
"1511","FANCA"
"1512","AFG3L1P"
"1513","GAS8"
"1514","FAM157C"
"1515","AC240565.1"
"1516","INPP5K"
"1517","TLCD2"
"1518","AC090617.5"
"1519","NCBP3"
"1520","TXNP4"
"1521","USP6"
"1522","ZNF594"
"1523","NUP88"
"1524","MIS12"
"1525","PITPNM3"
"1526","XAF1"
"1527","PRAL"
"1528","NLGN2"
"1529","KDM6B"
"1530","TMEM88"
"1531","AC104581.4"
"1532","KCNAB3"
"1533","RANGRF"
"1534","NDEL1"
"1535","PIK3R6"
"1536","AC002091.2"
"1537","AC002091.1"
"1538","MYH3"
"1539","TVP23C"
"1540","AC005324.4"
"1541","AC015922.3"
"1542","AC002553.1"
"1543","NCOR1"
"1544","PIGL"
"1545","CENPV"
"1546","SNORD49B"
"1547","CCDC144A"
"1548","AC098850.3"
"1549","USP32P1"
"1550","RAI1"
"1551","AC087163.3"
"1552","GID4"
"1553","TVP23B"
"1554","FAM83G"
"1555","SNORD3A"
"1556","CCDC144CP"
"1557","USP32P3"
"1558","SCDP1"
"1559","MAP2K3"
"1560","UBBP4"
"1561","WSB1"
"1562","AC015688.4"
"1563","LGALS9"
"1564","TMEM199"
"1565","AC002094.1"
"1566","PROCA1"
"1567","NSRP1"
"1568","CPD"
"1569","GOSR1"
"1570","OMG"
"1571","EVI2B"
"1572","AK4P1"
"1573","NF1"
"1574","RAB11FIP4"
"1575","UTP6"
"1576","AC005899.8"
"1577","PSMD11"
"1578","CDK5R1"
"1579","TLK2P1"
"1580","RAD51L3-RFFL"
"1581","SLFN5"
"1582","SLFN11"
"1583","SLFN13"
"1584","AC015911.4"
"1585","LINC02001"
"1586","PEX12"
"1587","CCL5"
"1588","AATF"
"1589","DUSP14"
"1590","AC233968.1"
"1591","AC244154.1"
"1592","CISD3"
"1593","PSMB3"
"1594","AC006441.3"
"1595","LASP1"
"1596","CACNB1"
"1597","MED1"
"1598","AC009283.1"
"1599","RAPGEFL1"
"1600","CDC6"
"1601","AC080112.3"
"1602","RARA"
"1603","AC080112.1"
"1604","EIF1"
"1605","NKIRAS2"
"1606","STAT3"
"1607","CAVIN1"
"1608","AC067852.3"
"1609","PTP4A2P1"
"1610","MLX"
"1611","RETREG3"
"1612","TUBG2"
"1613","CNTNAP1"
"1614","AOC2"
"1615","AOC3"
"1616","IFI35"
"1617","AC060780.1"
"1618","LINC00910"
"1619","NAGS"
"1620","LSM12"
"1621","GPATCH8"
"1622","HEXIM1"
"1623","AC138150.1"
"1624","NSFP1"
"1625","NSF"
"1626","ITGB3"
"1627","AC015674.1"
"1628","KPNB1"
"1629","TBX21"
"1630","AC004477.2"
"1631","NFE2L1"
"1632","HOXB2"
"1633","CALCOCO2"
"1634","UBE2Z"
"1635","AC091133.1"
"1636","SNF8"
"1637","GNGT2"
"1638","ABI3"
"1639","DLX4"
"1640","ITGA3"
"1641","COL1A1"
"1642","MYCBPAP"
"1643","CACNA1G"
"1644","ABCC3"
"1645","ANKRD40"
"1646","TOB1"
"1647","TOB1-AS1"
"1648","SPAG9"
"1649","UTP18"
"1650","MTCO1P40"
"1651","AC007485.2"
"1652","C17orf67"
"1653","AC015813.6"
"1654","MKS1"
"1655","LPO"
"1656","MPO"
"1657","TSPOAP1-AS1"
"1658","RNF43"
"1659","MTMR4"
"1660","SEPT4"
"1661","VMP1"
"1662","RPS6KB1"
"1663","RNFT1"
"1664","TBC1D3P1-DHX40P1"
"1665","AC025048.2"
"1666","NACA2"
"1667","INTS2"
"1668","MED13"
"1669","TLK2"
"1670","ERN1"
"1671","TEX2"
"1672","MIR3064"
"1673","MIR5047"
"1674","DDX5"
"1675","GNA13"
"1676","RGS9"
"1677","KPNA2"
"1678","LINC00674"
"1679","AC005332.6"
"1680","AC005332.3"
"1681","SH3GL1P3"
"1682","LRRC37A16P"
"1683","AC005332.4"
"1684","AMZ2"
"1685","WIPI1"
"1686","FAM20A"
"1687","SLC39A11"
"1688","CD300E"
"1689","CD300LF"
"1690","AC087289.4"
"1691","ACOX1"
"1692","CDK3"
"1693","TEN1-CDK3"
"1694","SRP68"
"1695","ATF4P3"
"1696","UBALD2"
"1697","QRICH2"
"1698","PRPSAP1"
"1699","SPHK1"
"1700","UBE2O"
"1701","AANAT"
"1702","RHBDF2"
"1703","MXRA7"
"1704","TNRC6C"
"1705","SOCS3"
"1706","AC022966.1"
"1707","CEP295NL"
"1708","TIMP2"
"1709","LGALS3BP"
"1710","CBX8"
"1711","AC124319.3"
"1712","RNF213"
"1713","AC124319.2"
"1714","AC145207.3"
"1715","P4HB"
"1716","AC129510.1"
"1717","CCDC57"
"1718","SLC16A3"
"1719","CSNK1D"
"1720","AC132938.5"
"1721","NARF-IT1"
"1722","AC124283.1"
"1723","WDR45B"
"1724","TYMS"
"1725","ENOSF1"
"1726","METTL4"
"1727","MYL12B"
"1728","TGIF1"
"1729","DLGAP1-AS1"
"1730","DLGAP1-AS2"
"1731","AP001496.3"
"1732","L3MBTL4"
"1733","AP001793.1"
"1734","RAB12"
"1735","AP001029.2"
"1736","SPIRE1"
"1737","ROCK1"
"1738","CTAGE1"
"1739","TMEM241"
"1740","RIOK3"
"1741","RMC1"
"1742","NPC1"
"1743","TTC39C"
"1744","PGDP1"
"1745","ZNF271P"
"1746","ZNF24"
"1747","ZNF396"
"1748","PIK3C3"
"1749","EPG5"
"1750","PSTPIP2"
"1751","C18orf25"
"1752","LOXHD1"
"1753","IER3IP1"
"1754","SMAD7"
"1755","ME2"
"1756","MEX3C"
"1757","MBD2"
"1758","C18orf54"
"1759","NARS"
"1760","MALT1"
"1761","ZNF532"
"1762","ZCCHC2"
"1763","VPS4B"
"1764","LINC00909"
"1765","ZNF236"
"1766","AC125437.1"
"1767","ATP9B"
"1768","AC008993.2"
"1769","AC092299.1"
"1770","SBNO2"
"1771","CBARP"
"1772","AC004490.1"
"1773","DOT1L"
"1774","TMPRSS9"
"1775","DIRAS1"
"1776","AC005262.2"
"1777","S1PR4"
"1778","AC005786.3"
"1779","MFSD12"
"1780","HMG20B"
"1781","GIPC3"
"1782","APBA3"
"1783","MATK"
"1784","CHAF1A"
"1785","LONP1"
"1786","RFX2"
"1787","TNFSF9"
"1788","TNFSF14"
"1789","C3"
"1790","GPR108"
"1791","AC008760.1"
"1792","VAV1"
"1793","AC008763.1"
"1794","MCEMP1"
"1795","TIMM44"
"1796","ELAVL1"
"1797","MYO1F"
"1798","AC008734.1"
"1799","ZNF558"
"1800","ZNF562"
"1801","AC011511.2"
"1802","ICAM1"
"1803","AC011511.5"
"1804","ICAM5"
"1805","AC011511.1"
"1806","FDX2"
"1807","SLC44A2"
"1808","TMED1"
"1809","DOCK6"
"1810","TMEM205"
"1811","RGL3"
"1812","ZNF653"
"1813","ZNF20"
"1814","ZNF625-ZNF20"
"1815","ZNF563"
"1816","PGK1P2"
"1817","AC010422.6"
"1818","ZNF791"
"1819","TRIR"
"1820","JUNB"
"1821","HOOK2"
"1822","DNASE2"
"1823","AC020934.2"
"1824","NFIX"
"1825","AC011446.1"
"1826","CCDC130"
"1827","ZSWIM4"
"1828","AC020916.1"
"1829","ASF1B"
"1830","AC008569.1"
"1831","ADGRE5"
"1832","ZNF333"
"1833","ADGRE2"
"1834","AC005255.1"
"1835","OR7C1"
"1836","NOTCH3"
"1837","EPHX3"
"1838","HAUS8"
"1839","USE1"
"1840","ANKLE1"
"1841","BISPR"
"1842","COLGALT1"
"1843","JAK3"
"1844","JUND"
"1845","GDF15"
"1846","KLHL26"
"1847","ZNF682"
"1848","ZNF486"
"1849","ZNF826P"
"1850","ZNF714"
"1851","PLEKHF1"
"1852","C19orf12"
"1853","ZNF507"
"1854","DPY19L3"
"1855","FAAP24"
"1856","CEBPG"
"1857","UBA2"
"1858","AC020910.5"
"1859","ZNF302"
"1860","ZNF181"
"1861","PSENEN"
"1862","AD000671.1"
"1863","NFKBID"
"1864","ZNF146"
"1865","ZNF461"
"1866","ZNF585A"
"1867","ZNF585B"
"1868","ZNF570"
"1869","PSMD8"
"1870","AC008982.2"
"1871","RINL"
"1872","NFKBIB"
"1873","SAMD4B"
"1874","PSMC4"
"1875","AC118344.2"
"1876","PLD3"
"1877","SERTAD1"
"1878","ITPKC"
"1879","AXL"
"1880","CCDC97"
"1881","TGFB1"
"1882","TMEM91"
"1883","AC011462.1"
"1884","BCKDHA"
"1885","POU2F2"
"1886","GSK3A"
"1887","AC006486.1"
"1888","L34079.3"
"1889","ZNF576"
"1890","PLAUR"
"1891","SMG9"
"1892","KCNN4"
"1893","ZNF45"
"1894","ZNF221"
"1895","ZNF230"
"1896","ZNF224"
"1897","AC021092.1"
"1898","ZNF226"
"1899","ZNF229"
"1900","PVR"
"1901","NECTIN2"
"1902","AC011481.2"
"1903","APOE"
"1904","AC011481.3"
"1905","APOC1"
"1906","APOC2"
"1907","APOC4-APOC2"
"1908","RELB"
"1909","PPP1R13L"
"1910","FOSB"
"1911","GIPR"
"1912","GAPDHP38"
"1913","FKRP"
"1914","SLC1A5"
"1915","AC008622.2"
"1916","BBC3"
"1917","C5AR2"
"1918","PLA2G4C-AS1"
"1919","PLA2G4C"
"1920","AC008403.2"
"1921","CA11"
"1922","PPP1R15A"
"1923","GYS1"
"1924","FLT3LG"
"1925","AC010619.2"
"1926","AKT1S1"
"1927","TBC1D17"
"1928","IL4I1"
"1929","ATF5"
"1930","SIGLEC16"
"1931","ZNF473"
"1932","AC020909.2"
"1933","SIGLEC18P"
"1934","SIGLEC9"
"1935","SIGLEC14"
"1936","SPACA6"
"1937","FPR2"
"1938","FPR1"
"1939","AC074141.1"
"1940","ZNF649-AS1"
"1941","ZNF649"
"1942","ZNF350"
"1943","ZNF615"
"1944","ZNF841"
"1945","ZNF528-AS1"
"1946","ZNF528"
"1947","ZNF808"
"1948","AC022150.1"
"1949","ZNF701"
"1950","AC022150.4"
"1951","ZNF611"
"1952","ZNF600"
"1953","ZNF28"
"1954","ZNF468"
"1955","ZNF816-ZNF321P"
"1956","ZNF702P"
"1957","ZNF160"
"1958","AC092070.2"
"1959","ZNF525"
"1960","ZNF765"
"1961","TPM3P9"
"1962","NLRP12"
"1963","AC008440.3"
"1964","AC008440.2"
"1965","MYADM"
"1966","OSCAR"
"1967","LILRB3"
"1968","LILRA6"
"1969","AC245884.12"
"1970","LILRA5"
"1971","AC245884.11"
"1972","LILRA4"
"1973","LENG9"
"1974","LILRA2"
"1975","LILRA1"
"1976","LILRB1"
"1977","LILRB1-AS1"
"1978","LILRB4"
"1979","FCAR"
"1980","AC245128.3"
"1981","NLRP2"
"1982","AC011476.3"
"1983","EPS8L1"
"1984","BRSK1"
"1985","UBE2S"
"1986","NAT14"
"1987","ZNF784"
"1988","ZSCAN5A"
"1989","AC006116.10"
"1990","AC006116.7"
"1991","ZNF542P"
"1992","ZNF583"
"1993","ZFP28"
"1994","ZNF470"
"1995","ZNF460"
"1996","AC005261.5"
"1997","ZNF749"
"1998","AC010522.1"
"1999","ZNF417"
"2000","ZSCAN22"
"2001","AC012313.5"
"2002","ZNF132"
"2003","AC016629.3"
"2004","ID2"
"2005","EIF1P7"
"2006","IAH1"
"2007","ADAM17"
"2008","YWHAQ"
"2009","GRHL1"
"2010","HPCAL1"
"2011","AC018463.1"
"2012","ROCK2"
"2013","RHOB"
"2014","NCOA1"
"2015","DNAJC27"
"2016","EFR3B"
"2017","SELENOI"
"2018","EMILIN1"
"2019","SLC30A3"
"2020","FTH1P3"
"2021","SLC4A1AP"
"2022","PPP1CB"
"2023","SPDYA"
"2024","LBH"
"2025","SLC30A6"
"2026","NLRC4"
"2027","YIPF4"
"2028","AL133243.3"
"2029","AC007378.1"
"2030","CRIM1"
"2031","STRN"
"2032","QPCT"
"2033","SOS1"
"2034","MAP4K3"
"2035","AC007388.1"
"2036","TMEM178A"
"2037","SLC8A1-AS1"
"2038","SLC8A1"
"2039","AC083949.1"
"2040","EML4"
"2041","ZFP36L2"
"2042","PPM1B"
"2043","AC013717.1"
"2044","SRBD1"
"2045","PRKCE"
"2046","MSH6"
"2047","FBXO11"
"2048","FOXN2"
"2049","AC007560.1"
"2050","ERLEC1"
"2051","RTN4"
"2052","CFAP36"
"2053","PPP4R3B"
"2054","VRK2"
"2055","FANCL"
"2056","LINC01122"
"2057","ATP1B3P1"
"2058","PAPOLG"
"2059","NONOP2"
"2060","USP34"
"2061","B3GNT2"
"2062","SERTAD2"
"2063","SLC1A4"
"2064","SPRED2"
"2065","AC017083.2"
"2066","AC017083.3"
"2067","FBXO48"
"2068","GFPT1"
"2069","NFU1"
"2070","C2orf42"
"2071","AC007878.1"
"2072","STAMBP"
"2073","MTHFD2"
"2074","SLC4A5"
"2075","AC006030.1"
"2076","HMGA1P8"
"2077","LBX2"
"2078","LBX2-AS1"
"2079","PCGF1"
"2080","HK2"
"2081","LDHAP7"
"2082","TRABD2A"
"2083","AC022210.1"
"2084","KCMF1"
"2085","GNLY"
"2086","ST3GAL5"
"2087","KDM3A"
"2088","RNF103"
"2089","RNF103-CHMP3"
"2090","RMND5A"
"2091","AC125232.1"
"2092","AC092651.2"
"2093","AC125232.2"
"2094","AC093616.1"
"2095","AC133644.3"
"2096","AC104134.1"
"2097","EIF2AK3"
"2098","MRPS5"
"2099","ZNF2"
"2100","ADRA2B"
"2101","KANSL3"
"2102","CNNM4"
"2103","TMEM131"
"2104","AC019097.1"
"2105","MITD1"
"2106","SNORD89"
"2107","RNF149"
"2108","UXS1"
"2109","EEF1A1P12"
"2110","GCC2"
"2111","GCC2-AS1"
"2112","RANBP2"
"2113","SH3RF3"
"2114","SEPT10"
"2115","SOWAHC"
"2116","RGPD5"
"2117","RGPD6"
"2118","ZC3H6"
"2119","RGPD8"
"2120","AC079922.1"
"2121","IL1RN"
"2122","CBWD2"
"2123","HTR5BP"
"2124","RALB"
"2125","TFCP2L1"
"2126","CLASP1"
"2127","YWHAZP2"
"2128","GYPC"
"2129","MAP3K2"
"2130","PROC"
"2131","AC010976.1"
"2132","IWS1"
"2133","MYO7B"
"2134","AMMECR1L"
"2135","SAP130"
"2136","RAB6C-AS1"
"2137","RAB6C"
"2138","AC079776.1"
"2139","RAB6D"
"2140","RHOQP2"
"2141","AC093724.1"
"2142","TMEM163"
"2143","CCNT2"
"2144","UBXN4"
"2145","CXCR4"
"2146","HNRNPKP2"
"2147","AC013444.1"
"2148","KYNU"
"2149","ZEB2"
"2150","ACVR2A"
"2151","NMI"
"2152","TNFAIP6"
"2153","RIF1"
"2154","NEB"
"2155","STAM2"
"2156","FMNL2"
"2157","PRPF40A"
"2158","NR4A2"
"2159","GPD2"
"2160","ACVR1"
"2161","BTF3L4P2"
"2162","WDSUB1"
"2163","RBMS1"
"2164","TANK"
"2165","PSMD14"
"2166","AHCTF1P1"
"2167","IFIH1"
"2168","CERS6"
"2169","CERS6-AS1"
"2170","DHRS9"
"2171","EIF2S2P4"
"2172","ITGA6"
"2173","SP3"
"2174","MTX2"
"2175","AC079305.1"
"2176","NFE2L2"
"2177","PLEKHA3"
"2178","FTH1P20"
"2179","ITPRID2"
"2180","NCKAP1"
"2181","AC096667.1"
"2182","ZNF804A"
"2183","INPP1"
"2184","MFSD6"
"2185","NEMP2"
"2186","AC067945.1"
"2187","STAT1"
"2188","MYO1B"
"2189","HECW2"
"2190","BZW1"
"2191","NIF3L1"
"2192","FAM126B"
"2193","IMPDH1P10"
"2194","CFLAR-AS1"
"2195","AC007283.1"
"2196","CFLAR"
"2197","CASP8"
"2198","ALS2CR12"
"2199","FZD7"
"2200","BMPR2"
"2201","AC007679.1"
"2202","INO80D"
"2203","AC007879.3"
"2204","AC009226.1"
"2205","AC007038.1"
"2206","KANSL1L"
"2207","FN1"
"2208","LINC00607"
"2209","TNS1"
"2210","AAMP"
"2211","TMBIM1"
"2212","PNKD"
"2213","CATIP-AS1"
"2214","CATIP"
"2215","SLC11A1"
"2216","VIL1"
"2217","USP37"
"2218","CNOT9"
"2219","AC068946.1"
"2220","ANKZF1"
"2221","GLB1L"
"2222","HSPA9P1"
"2223","WDFY1"
"2224","CUL3"
"2225","RHBDD1"
"2226","PID1"
"2227","SP140"
"2228","SP140L"
"2229","HMGB1P3"
"2230","SP100"
"2231","ARMC9"
"2232","PDE6D"
"2233","ATG16L1"
"2234","AC005538.2"
"2235","MSL3P1"
"2236","RAB17"
"2237","ANKMY1"
"2238","SNED1"
"2239","MTERF4"
"2240","PDCD1"
"2241","NRSN2-AS1"
"2242","NRSN2"
"2243","RBCK1"
"2244","SRXN1"
"2245","AL121758.1"
"2246","AL109809.1"
"2247","SMOX"
"2248","TMEM230"
"2249","UBE2D3P1"
"2250","SHLD1"
"2251","CRLS1"
"2252","TMX4"
"2253","ESF1"
"2254","GINS1"
"2255","HM13"
"2256","TPX2"
"2257","PLAGL2"
"2258","BAK1P1"
"2259","E2F1"
"2260","EIF2S2"
"2261","XPOTP1"
"2262","MAP1LC3A"
"2263","PIGU"
"2264","TP53INP2"
"2265","GGT7"
"2266","GSS"
"2267","MYH7B"
"2268","TRPC4AP"
"2269","MT1P3"
"2270","DLGAP4"
"2271","DLGAP4-AS1"
"2272","TGIF2-RAB5IF"
"2273","RAB5IF"
"2274","SLA2"
"2275","MANBAL"
"2276","SRC"
"2277","BLCAP"
"2278","TTI1"
"2279","TGM2"
"2280","RALGAPB"
"2281","TOP1"
"2282","PKIG"
"2283","PABPC1L"
"2284","SDC4"
"2285","AL162458.1"
"2286","MMP9"
"2287","SLC12A5-AS1"
"2288","CD40"
"2289","SLC35C2"
"2290","AL133227.1"
"2291","ELMO2"
"2292","OCSTAMP"
"2293","TP53RK"
"2294","ZMYND8"
"2295","NCOA3"
"2296","ARFGEF2"
"2297","STAU1"
"2298","ZNFX1"
"2299","B4GALT5"
"2300","SLC9A8"
"2301","TMEM189"
"2302","CEBPB-AS1"
"2303","CEBPB"
"2304","SMIM25"
"2305","AL133230.1"
"2306","ATP9A"
"2307","AURKA"
"2308","RPL39P"
"2309","CASS4"
"2310","AL109806.1"
"2311","ZBP1"
"2312","RAB22A"
"2313","PRELID3B"
"2314","PPP1R3D"
"2315","LAMA5"
"2316","CABLES2"
"2317","AL357033.4"
"2318","SLCO4A1-AS1"
"2319","SLCO4A1"
"2320","AL118506.1"
"2321","SIK1B"
"2322","CBSL"
"2323","KCNE1B"
"2324","FP236383.1"
"2325","HSPA13"
"2326","USP25"
"2327","BTG3"
"2328","BTG3-AS1"
"2329","C21orf91"
"2330","MIR155HG"
"2331","APP"
"2332","LTN1"
"2333","USP16"
"2334","MAP3K7CL"
"2335","BACH1"
"2336","EVA1C"
"2337","AP000295.1"
"2338","IL10RB"
"2339","IFNAR1"
"2340","IFNGR2"
"2341","TMEM50B"
"2342","GART"
"2343","SLC5A3"
"2344","MRPS6"
"2345","AP000317.2"
"2346","KCNE1"
"2347","RUNX1"
"2348","MORC3"
"2349","AP000695.1"
"2350","HLCS"
"2351","VPS26C"
"2352","DYRK1A"
"2353","ABCG1"
"2354","CBS"
"2355","LINC01679"
"2356","SIK1"
"2357","RRP1"
"2358","ITGB2"
"2359","AL844908.1"
"2360","LINC01547"
"2361","POFUT2"
"2362","AP000523.1"
"2363","ATP6V1E1"
"2364","BCL2L13"
"2365","USP18"
"2366","PI4KAP1"
"2367","DGCR2"
"2368","AC000068.2"
"2369","UFD1"
"2370","MED15"
"2371","CCDC74BP1"
"2372","AC007308.1"
"2373","SNAP29"
"2374","HIC2"
"2375","PI4KAP2"
"2376","UPB1"
"2377","Z99774.1"
"2378","MIAT"
"2379","OSM"
"2380","RF01891"
"2381","TUG1"
"2382","SELENOM"
"2383","LIMK2"
"2384","TOM1"
"2385","APOL6"
"2386","APOL3"
"2387","APOL2"
"2388","APOL1"
"2389","IL2RB"
"2390","RAC2"
"2391","CDC42EP1"
"2392","LGALS2"
"2393","H1F0"
"2394","MICALL1"
"2395","AL031587.5"
"2396","C22orf23"
"2397","MAFF"
"2398","PRDX3P1"
"2399","GTPBP1"
"2400","AL021707.5"
"2401","AL021707.3"
"2402","AL021707.1"
"2403","SUN2"
"2404","APOBEC3A"
"2405","APOBEC3B"
"2406","APOBEC3B-AS1"
"2407","APOBEC3D"
"2408","AL022318.4"
"2409","APOBEC3G"
"2410","PDGFB"
"2411","AL022312.1"
"2412","UQCRFS1P1"
"2413","AL080243.2"
"2414","EP300-AS1"
"2415","DESI1"
"2416","C22orf46"
"2417","MEI1"
"2418","CYP2D6"
"2419","CYP2D7"
"2420","CYP2D8P"
"2421","ARFGAP3"
"2422","PACSIN2"
"2423","TTLL12"
"2424","RTL6"
"2425","NUP50-DT"
"2426","NUP50"
"2427","TRMU"
"2428","PIM3"
"2429","ADM2"
"2430","U62317.2"
"2431","SCO2"
"2432","SCO2"
"2433","TYMP"
"2434","ODF3B"
"2435","U62317.1"
"2436","U62317.4"
"2437","KLHDC7B"
"2438","CPT1B"
"2439","CHKB-CPT1B"
"2440","RABL2B"
"2441","ITPR1"
"2442","AC018816.1"
"2443","BHLHE40-AS1"
"2444","BHLHE40"
"2445","ARL8B"
"2446","RAD18"
"2447","VGLL4"
"2448","AC091492.1"
"2449","PPARG"
"2450","RAF1"
"2451","NUP210"
"2452","CHCHD4"
"2453","TMEM43"
"2454","AC090004.1"
"2455","AC093495.1"
"2456","SH3BP5-AS1"
"2457","SH3BP5"
"2458","METTL6"
"2459","EAF1"
"2460","EAF1-AS1"
"2461","COLQ"
"2462","ANKRD28"
"2463","DPH3"
"2464","RAB5A"
"2465","UBE2E2"
"2466","UBE2E1"
"2467","NKIRAS1"
"2468","NGLY1"
"2469","CMC1"
"2470","AZI2"
"2471","TRANK1"
"2472","MLH1"
"2473","LRRFIP2"
"2474","TCEA1P2"
"2475","GOLGA4"
"2476","OXSR1"
"2477","AC092053.3"
"2478","ZNF619"
"2479","ZNF621"
"2480","SNRK"
"2481","ANO10"
"2482","ABHD5"
"2483","ZKSCAN7"
"2484","ZDHHC3"
"2485","FYCO1"
"2486","AC098613.1"
"2487","CCRL2"
"2488","AC104447.1"
"2489","SHISA5"
"2490","AC137630.2"
"2491","USP4"
"2492","DAG1"
"2493","RBM5-AS1"
"2494","DOCK3"
"2495","RAD54L2"
"2496","PARP3"
"2497","ALAS1"
"2498","AC097637.1"
"2499","TWF2"
"2500","ITIH4"
"2501","AC006254.1"
"2502","ARHGEF3"
"2503","SLMAP"
"2504","FLNB-AS1"
"2505","FLNB"
"2506","THOC7"
"2507","ATXN7"
"2508","ATXN7"
"2509","PSMD6-AS2"
"2510","PSMC1P1"
"2511","TMF1"
"2512","MITF"
"2513","RYBP"
"2514","FTH1P23"
"2515","GXYLT2"
"2516","EBLN2"
"2517","PPP4R2"
"2518","GBE1"
"2519","ZNF654"
"2520","CGGBP1"
"2521","ARL13B"
"2522","DHFR2"
"2523","HNRNPKP4"
"2524","CLDND1"
"2525","ST3GAL6-AS1"
"2526","PDLIM1P4"
"2527","ST3GAL6"
"2528","TBC1D23"
"2529","TFG"
"2530","ZBTB11"
"2531","NFKBIZ"
"2532","ALCAM"
"2533","CD96"
"2534","PLCXD2"
"2535","NEPRO"
"2536","AC112128.1"
"2537","SPICE1"
"2538","USF3"
"2539","NAA50"
"2540","ATP6V1A"
"2541","CCDC191"
"2542","BZW1P2"
"2543","TIMMDC1"
"2544","CD80"
"2545","POPDC2"
"2546","NAP1L1P3"
"2547","GOLGB1"
"2548","IQCB1"
"2549","EAF2"
"2550","SLC15A2"
"2551","CD86"
"2552","CSTA"
"2553","PARP9"
"2554","DTX3L"
"2555","PARP14"
"2556","HSPBAP1"
